,elbo
1357,-748186560.0
1358,-781953216.0
1359,-772029760.0
1360,-751722816.0
1361,-750322176.0
1362,-770382656.0
1363,-776198656.0
1364,-746200192.0
1365,-752899328.0
1366,-748835072.0
1367,-778569408.0
1368,-781511360.0
1369,-776936000.0
1370,-756129152.0
1371,-802524288.0
1372,-862475776.0
1373,-907586432.0
1374,-924798336.0
1375,-862583168.0
1376,-793215744.0
1377,-770539200.0
1378,-777085312.0
1379,-782066816.0
1380,-752660928.0
1381,-747708480.0
1382,-757526400.0
1383,-763258304.0
1384,-775719872.0
1385,-801011136.0
1386,-832916288.0
1387,-782249088.0
1388,-743204672.0
1389,-764734144.0
1390,-785947968.0
1391,-789867776.0
1392,-800250304.0
1393,-723148736.0
1394,-768269952.0
1395,-775803712.0
1396,-754680128.0
1397,-784772544.0
1398,-776076288.0
1399,-734698176.0
1400,-789074240.0
1401,-788795648.0
1402,-758076032.0
1403,-774332928.0
1404,-783877312.0
1405,-804841792.0
1406,-761236352.0
1407,-762905280.0
1408,-808563648.0
1409,-838540352.0
1410,-821965952.0
1411,-761456768.0
1412,-787438976.0
1413,-819018048.0
1414,-820908224.0
1415,-770337728.0
1416,-794532096.0
1417,-814110464.0
1418,-830547008.0
1419,-808039104.0
1420,-775396160.0
1421,-789364608.0
1422,-795491712.0
1423,-756265216.0
1424,-773943296.0
1425,-789327680.0
1426,-743968256.0
1427,-743596864.0
1428,-745904064.0
1429,-750293248.0
1430,-743493120.0
1431,-742383296.0
1432,-759450624.0
1433,-736012544.0
1434,-748273408.0
1435,-756527808.0
1436,-792408000.0
1437,-814127232.0
1438,-769682176.0
1439,-747369728.0
1440,-766262464.0
1441,-827363392.0
1442,-761735360.0
1443,-749119616.0
1444,-746914752.0
1445,-760486208.0
1446,-747550272.0
1447,-738434752.0
1448,-739330048.0
1449,-737813248.0
1450,-750754048.0
1451,-758145856.0
1452,-742807424.0
1453,-740975616.0
1454,-776657024.0
1455,-882838912.0
1456,-778639552.0
1457,-796651072.0
1458,-760001152.0
1459,-740510720.0
1460,-748551232.0
1461,-738755264.0
1462,-721624896.0
1463,-747889088.0
1464,-772773056.0
1465,-742559872.0
1466,-760496320.0
1467,-780271104.0
1468,-776533248.0
1469,-822415872.0
1470,-809323328.0
1471,-753411712.0
1472,-774908800.0
1473,-792042240.0
1474,-844182144.0
1475,-870490816.0
1476,-787937664.0
1477,-787580096.0
1478,-751482112.0
1479,-762824064.0
1480,-755417664.0
1481,-758095552.0
1482,-779115328.0
1483,-765515712.0
1484,-753027520.0
1485,-780428544.0
1486,-759204544.0
1487,-755276288.0
1488,-768825344.0
1489,-767820608.0
1490,-784340992.0
1491,-826746432.0
1492,-806637248.0
1493,-753150528.0
