,elbo
1099,-1580427136.0
1100,-1580072192.0
1101,-1580020864.0
1102,-1580083584.0
1103,-1580818944.0
1104,-1579557504.0
1105,-1579910656.0
1106,-1580497024.0
1107,-1579059840.0
1108,-1580060928.0
1109,-1579207552.0
1110,-1579791360.0
1111,-1579956736.0
1112,-1580014464.0
1113,-1579161728.0
1114,-1579535232.0
1115,-1578988800.0
1116,-1578096896.0
1117,-1578237952.0
1118,-1579573248.0
1119,-1579069696.0
1120,-1577506816.0
1121,-1578189056.0
1122,-1579406080.0
1123,-1577421184.0
1124,-1577592960.0
1125,-1577101568.0
1126,-1577827456.0
1127,-1577388288.0
1128,-1577337984.0
1129,-1577143808.0
1130,-1577499648.0
1131,-1577295488.0
1132,-1575961344.0
1133,-1576874880.0
1134,-1576496256.0
1135,-1577437568.0
1136,-1575336448.0
1137,-1575493888.0
1138,-1577208064.0
1139,-1575859712.0
1140,-1576318848.0
1141,-1575874560.0
1142,-1576006144.0
1143,-1575280000.0
1144,-1574647040.0
1145,-1575580800.0
1146,-1574342016.0
1147,-1574819840.0
1148,-1575316224.0
1149,-1574588160.0
1150,-1574672384.0
1151,-1574299136.0
1152,-1574633344.0
1153,-1574091392.0
1154,-1573794816.0
1155,-1573694464.0
1156,-1573270144.0
1157,-1574434688.0
1158,-1572690432.0
1159,-1573892480.0
1160,-1573320832.0
1161,-1572919552.0
1162,-1572579584.0
1163,-1571881600.0
1164,-1572242816.0
1165,-1572400128.0
1166,-1571733120.0
1167,-1571728128.0
1168,-1570938752.0
1169,-1572352512.0
1170,-1571198720.0
1171,-1571007232.0
1172,-1570678784.0
1173,-1570642432.0
1174,-1570587648.0
1175,-1571421952.0
1176,-1570183424.0
1177,-1569894400.0
1178,-1570534528.0
1179,-1570139008.0
1180,-1569512064.0
1181,-1568776064.0
1182,-1569723392.0
1183,-1567844992.0
1184,-1568827136.0
1185,-1569266688.0
1186,-1567788032.0
1187,-1569228544.0
1188,-1568188928.0
1189,-1568362368.0
1190,-1565758720.0
1191,-1567724160.0
1192,-1567918848.0
1193,-1567384576.0
1194,-1566988800.0
1195,-1566436608.0
1196,-1567204736.0
1197,-1566252800.0
1198,-1565969664.0
1199,-1564727808.0
1200,-1565060224.0
1201,-1565485824.0
1202,-1566315008.0
1203,-1565637120.0
1204,-1565380992.0
1205,-1564229120.0
1206,-1565108480.0
1207,-1564614912.0
1208,-1564554112.0
1209,-1564094336.0
1210,-1564026240.0
1211,-1563576704.0
1212,-1562857728.0
1213,-1562622208.0
1214,-1563140352.0
1215,-1562060672.0
1216,-1561614848.0
1217,-1562106752.0
1218,-1560835200.0
1219,-1561993472.0
1220,-1562669184.0
1221,-1559965184.0
1222,-1560438272.0
1223,-1560441984.0
1224,-1559774592.0
1225,-1559104768.0
1226,-1560413312.0
1227,-1558334592.0
1228,-1559595904.0
1229,-1558437760.0
1230,-1557610752.0
1231,-1558138240.0
1232,-1558594304.0
1233,-1555668352.0
1234,-1556830208.0
1235,-1557711488.0
1236,-1556986624.0
1237,-1557132544.0
1238,-1556009216.0
1239,-1555538944.0
1240,-1555059456.0
1241,-1554572800.0
1242,-1555127424.0
1243,-1553439744.0
1244,-1553627904.0
1245,-1553679488.0
1246,-1552763264.0
1247,-1553064704.0
1248,-1553272576.0
1249,-1551300352.0
1250,-1552019200.0
1251,-1552148352.0
1252,-1551376384.0
1253,-1551064960.0
1254,-1551049984.0
1255,-1551068416.0
1256,-1549101568.0
1257,-1549282560.0
1258,-1549490048.0
1259,-1548811648.0
1260,-1548490880.0
1261,-1548829696.0
1262,-1548469760.0
1263,-1547999488.0
1264,-1547256832.0
1265,-1547647616.0
