,elbo
583,-1637436416.0
584,-1673791872.0
585,-1647635712.0
586,-1671166208.0
587,-1660246016.0
588,-1644498816.0
589,-1648081280.0
590,-1627060480.0
591,-1669786112.0
592,-1687831936.0
593,-1658007680.0
594,-1649527296.0
595,-1650304128.0
596,-1668511488.0
597,-1635736448.0
598,-1642159872.0
599,-1634489216.0
600,-1623801344.0
601,-1629976960.0
602,-1622144640.0
603,-1631918336.0
604,-1613384192.0
605,-1614094464.0
606,-1635157120.0
607,-1617501696.0
608,-1608383104.0
609,-1615816448.0
610,-1611495808.0
611,-1646686720.0
612,-1605043584.0
613,-1626474624.0
614,-1601393792.0
615,-1601086464.0
616,-1603572992.0
617,-1603314304.0
618,-1599463552.0
619,-1615738752.0
620,-1621735552.0
621,-1597231360.0
622,-1593290880.0
623,-1595314176.0
624,-1592344320.0
625,-1598386176.0
626,-1583735552.0
627,-1588298496.0
628,-1605964928.0
629,-1575236096.0
630,-1575291392.0
631,-1578044672.0
632,-1574441088.0
633,-1572797824.0
634,-1562718464.0
635,-1565667328.0
636,-1568089216.0
637,-1565749120.0
638,-1562489472.0
639,-1573340800.0
640,-1557273856.0
641,-1553382144.0
642,-1571053952.0
643,-1579804032.0
644,-1558230528.0
645,-1540506240.0
646,-1539698176.0
647,-1551547136.0
648,-1561052288.0
649,-1551820288.0
650,-1556880000.0
651,-1564834944.0
652,-1564590592.0
653,-1545562496.0
654,-1581294848.0
655,-1534561920.0
656,-1559451648.0
657,-1552840448.0
658,-1543272960.0
659,-1560913280.0
660,-1537974528.0
661,-1520320128.0
662,-1529287680.0
663,-1522067328.0
664,-1543855232.0
665,-1519334528.0
666,-1518152192.0
667,-1547287168.0
668,-1511741824.0
669,-1506591488.0
670,-1510160640.0
671,-1508338944.0
672,-1502931072.0
673,-1515275392.0
674,-1518212480.0
675,-1511993600.0
676,-1513933952.0
677,-1502955904.0
678,-1506286976.0
679,-1504153088.0
680,-1504072320.0
681,-1503457408.0
682,-1499257216.0
683,-1498589568.0
684,-1494140288.0
685,-1507742720.0
686,-1488968192.0
687,-1509124096.0
688,-1505475200.0
689,-1482062592.0
690,-1496058368.0
691,-1483659648.0
692,-1497776256.0
693,-1510301184.0
694,-1487637888.0
695,-1480431488.0
696,-1491465216.0
697,-1476802560.0
698,-1490235008.0
699,-1475294976.0
700,-1485210240.0
701,-1473273984.0
702,-1475065728.0
703,-1484500480.0
704,-1481379968.0
705,-1473165696.0
706,-1477445760.0
707,-1483008512.0
708,-1465566592.0
709,-1485747968.0
710,-1467026560.0
711,-1474970624.0
712,-1466471936.0
713,-1487121920.0
714,-1488104320.0
715,-1461283968.0
716,-1476671360.0
717,-1478640256.0
718,-1456824704.0
719,-1468715392.0
720,-1472826624.0
721,-1480247296.0
722,-1462964608.0
723,-1459680384.0
724,-1460226688.0
725,-1465619200.0
726,-1483258624.0
727,-1466682624.0
728,-1467107968.0
729,-1464551680.0
730,-1482524160.0
731,-1471993344.0
732,-1457900544.0
733,-1453384192.0
734,-1458291200.0
735,-1455804672.0
736,-1457067136.0
737,-1453632768.0
